##Introduction,,,,,,,,,,,,
newPattern,mbp_nyxa_midnight_trader0_introduction,,,,,,,,,,,
,,,,,,,,,,,,
time,0,,,,,,,,,,,
dialog,5000,"Ah, you got coins? Coins very tasty... I mean, useful! For me! For trade.",,,,,,,,,,
,,,,,,,,,,,,
pattVarReset,,,,,,,,,,,,
pattVars,warningDelay;0,spawnDelay;4000,element;blue,radius;300,warnMsg;1,angle;random(360),number;60,spd;8,doubled;false,,,
pattAddPos,bp_prscircle,enemyX,enemyY,,,,,,,,,
pattVars,warningDelay;3000,spawnDelay;5000,radius;200,trgBinary;all,warnMsg;1,,,,,,,
pattAdd,bp_prscircle_follow_bin,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
##Heart Trade 1 for 2,,,,,,,,,,,,
newPattern,mbp_nyxa_midnight_trader0_trade1,,,,,,,,,,,
,,,,,,,,,,,,
time,0,,,,,,,,,,,
dialog,5000,You need heart? You lose heart? Hmm... I fix. Good trade!,,,,,,,,,,
,,,,,,,,,,,,
pattVarReset,,,,,,,,,,,,
pattVars,trgBinary;all,warningDelay;0,spawnDelay;4000,radius;circleRadiusDef(2),warnMsg;1,,,,,,,
pattAdd,bp_circle_spreads,,,,,,,,,,,
,,,,,,,,,,,,
pattVarReset,,,,,,,,,,,,
pattVars,warningDelay;0,spawnDelay;2000,radius;1600,warnMsg;1,,,,,,,,
pattPosition,enemyX;enemyY,,,,,,,,,,,
pattAdd,bp_circle_position,,,,,,,,,,,
,,,,,,,,,,,,
time,2000,,,,,,,,,,,
pattVarReset,,,,,,,,,,,,
pattVars,amount;2,,,,,,,,,,,
pattAdd,bp_snare_healing,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
##Heart Trade 2 for 3,,,,,,,,,,,,
newPattern,mbp_nyxa_midnight_trader0_trade2,,,,,,,,,,,
,,,,,,,,,,,,
time,0,,,,,,,,,,,
dialog,5000,"Ah, I take 2 heart, you take 3 heart. Fair, yes?",,,,,,,,,,
,,,,,,,,,,,,
pattVarReset,,,,,,,,,,,,
pattVars,trgBinary;all,warningDelay;0,spawnDelay;4000,radius;circleRadiusDef(2),warnMsg;1,,,,,,,
pattAdd,bp_circle_spreads,,,,,,,,,,,
,,,,,,,,,,,,
pattVarReset,,,,,,,,,,,,
pattVars,warningDelay;0,spawnDelay;2000,radius;1600,warnMsg;1,,,,,,,,
pattPosition,enemyX;enemyY,,,,,,,,,,,
pattAdd,bp_circle_position,,,,,,,,,,,
pattVarReset,,,,,,,,,,,,
pattVars,delay;2200,trgBinary;all,,,,,,,,,,
pattAdd,bp_damage_players,,,,,,,,,,,
,,,,,,,,,,,,
pattVarReset,,,,,,,,,,,,
pattVars,delay;2100,trgBinary;all,,,,,,,,,,
pattAdd,bp_invulncancel,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
time,2000,,,,,,,,,,,
pattVarReset,,,,,,,,,,,,
pattVars,amount;3,,,,,,,,,,,
pattAdd,bp_snare_healing,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
##Heart Trade 3 for 4,,,,,,,,,,,,
newPattern,mbp_nyxa_midnight_trader0_trade3,,,,,,,,,,,
,,,,,,,,,,,,
time,0,,,,,,,,,,,
dialog,5000,"Good deal! You give 3 heart, I give 4 heart.",,,,,,,,,,
,,,,,,,,,,,,
pattVarReset,,,,,,,,,,,,
pattVars,trgBinary;all,warningDelay;0,spawnDelay;4000,radius;circleRadiusDef(2),warnMsg;1,,,,,,,
pattAdd,bp_circle_spreads,,,,,,,,,,,
,,,,,,,,,,,,
pattVarReset,,,,,,,,,,,,
pattVars,warningDelay;0,spawnDelay;2000,radius;1600,warnMsg;1,,,,,,,,
pattPosition,enemyX;enemyY,,,,,,,,,,,
pattAdd,bp_circle_position,,,,,,,,,,,
pattVarReset,,,,,,,,,,,,
pattVars,delay;2200,trgBinary;all,,,,,,,,,,
pattAdd,bp_damage_players,,,,,,,,,,,
pattVars,delay;2400,,,,,,,,,,,
pattAdd,bp_damage_players,,,,,,,,,,,
,,,,,,,,,,,,
pattVarReset,,,,,,,,,,,,
pattVars,delay;2100,trgBinary;all,,,,,,,,,,
pattAdd,bp_invulncancel,,,,,,,,,,,
pattVars,delay;2300,,,,,,,,,,,
pattAdd,bp_invulncancel,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
time,2000,,,,,,,,,,,
pattVarReset,,,,,,,,,,,,
pattVars,amount;4,,,,,,,,,,,
pattAdd,bp_snare_healing,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
##Lots of Fireballs,,,,,,,,,,,,
newPattern,mbp_nyxa_midnight_trader0_fireballs,,,,,,,,,,,
,,,,,,,,,,,,
time,0,,,,,,,,,,,
dialog,5000,"This? Very rare! Very special! Very... common actually, but still special for you.",,,,,,,,,,
,,,,,,,,,,,,
pattVarReset,,,,,,,,,,,,
pattVars,warningDelay;0,spawnDelay;500,x;bfMaxX+300,y;bfMinY-500,lineLength;bfHeight+1000,lineAngle;90,angle;180,num;20,spd;18,numLines;8,timeBetween;500,showWarning;true
pattAdd,bp_fire2_line_repeating,,,,,,,,,,,
,,,,,,,,,,,,
timeRepeatTimes,0,1000,4,,,,,,,,,
,,,,,,,,,,,,
setVar,targetP,randomTargetId(all),,,,,,,,,,
setVar,py,playerYPos(targetP),,,,,,,,,,
,,,,,,,,,,,,
pattVarReset,,,,,,,,,,,,
pattVars,warningDelay;0,spawnDelay;1000,eraseDelay;1300,width;100,angle;180,,,,,,,
pattAddPos,bp_ray_single,bfMaxX,py,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
##Moon,,,,,,,,,,,,
newPattern,mbp_nyxa_midnight_trader0_moon,,,,,,,,,,,
,,,,,,,,,,,,
time,0,,,,,,,,,,,
dialog,5000,One moon? Easy trade. You want two moons? Hmm... harder.,,,,,,,,,,
,,,,,,,,,,,,
pattVarReset,,,,,,,,,,,,
pattVars,warningDelay;0,spawnDelay;3000,element;blue,radius;600,warnMsg;1,angle;random(360),number;60,spd;8,doubled;false,,,
pattAddPos,bp_prscircle,bfCenterX,bfCenterY,,,,,,,,,
,,,,,,,,,,,,
pattVarReset,,,,,,,,,,,,
pattVars,warningDelay;1000,spawnDelay;4000,scale;3,spd;5,dir;90,,,,,,,
pattPosition,bfCenterX;bfCenterY,,,,,,,,,,,
pattAdd,bp_dark_moon_summon_mult,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
##No Cross,,,,,,,,,,,,
newPattern,mbp_nyxa_midnight_trader0_no,,,,,,,,,,,
,,,,,,,,,,,,
time,0,,,,,,,,,,,
dialog,5000,"No refunds! Unless... actually, no, no refunds.",,,,,,,,,,
,,,,,,,,,,,,
time,0,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
pattVarReset,,,,,,,,,,,,
pattVars,x;bfCenterX,y;bfCenterY,rot;45,width;200,warningDelay;0,warningDelay2;0,spawnDelay;1000,eraseDelay;5000,,,,
pattAdd,bp_cardinal_r,,,,,,,,,,,
,,,,,,,,,,,,
setVar,timeLeft,5000,,,,,,,,,,
,,,,,,,,,,,,
timeRepeatTimes,1000,1000,3,,,,,,,,,
,,,,,,,,,,,,
setVar,targetP,randomTargetId(all),,,,,,,,,,
setVar,px,playerXPos(targetP),,,,,,,,,,
setVar,py,playerYPos(targetP),,,,,,,,,,
setVar,timeLeft,timeLeft-1000,,,,,,,,,,
,,,,,,,,,,,,
pattVarReset,,,,,,,,,,,,
pattVars,x;px,y;py,rot;45,width;50,warningDelay;0,warningDelay2;0,spawnDelay;1000,eraseDelay;timeLeft,,,,
pattAdd,bp_cardinal_r,,,,,,,,,,,